,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,-852.40924,19.16523,-1.9583585,2.6803708,3.7537284,-0.18450053,-2.9100544,-1.6920812,-1.403835,-0.65054804,-0.34350026,-0.5991654,-0.42977503,-1.036665,-0.57801324,-0.61814946,0.006358983,-0.6724853,-0.9218543,-0.2242095,-1.0135584,-1.2467825,-1.2183591,-1.1263353,-0.86757404,-0.46182483,-0.88348067,-0.69832456,-0.7762457,-1.3802053,-0.70155513,-0.7826592,-0.9773203,-0.84349424,-0.68412644,-0.65617883,-0.45116743,-0.16937885,-0.35070035,-0.30677405
1,-839.8841,15.83027,-0.86333597,3.5653229,1.4864028,-0.826806,-0.37752208,-0.93236524,-1.7601029,-0.48823506,-1.4033996,-0.12687363,-0.23113686,-1.4571676,0.41448504,-0.30143133,-0.10918494,-1.1217675,-0.34633777,-0.21349438,-1.8248678,-0.4791381,-0.8377284,-0.907811,-0.76241565,-0.564367,-0.9115158,-0.9587848,-0.3313662,-0.7574127,-0.3757308,-0.5533533,-0.5979948,-0.44685444,-0.5216028,-0.68661165,-0.6391978,-0.38890743,-0.5986493,-0.33877748
2,-817.26447,15.026005,1.3496361,5.727953,1.5083829,2.0227478,1.2931885,0.2627779,-0.39406058,0.58259726,-0.86391765,-0.1122725,0.5960896,-1.244154,0.007873611,-0.19783881,-0.038595427,-1.2867328,-0.75127953,-0.5490403,-1.3330151,-0.8749365,-1.6562337,-1.5035214,-1.5627662,-1.2770393,-2.00117,-1.2725133,-1.0083972,-1.6941305,-0.87300545,-1.4126478,-1.2715795,-0.90130967,-0.96554,-1.2022749,-0.81582665,-1.0425807,-1.0248677,-0.51186615
3,-905.4372,12.988507,-4.195815,1.6832331,1.3331357,3.2862816,-2.346922,-1.5464073,-3.4831862,0.50862026,-4.3564878,-0.4836771,-4.2892137,-1.8629141,-6.3941574,0.860997,-0.21691582,2.3010237,-2.9152985,-1.4913332,-3.418529,-0.08107354,-3.0666013,3.197803,-0.3785851,1.7399058,-0.29743868,1.5927851,-2.435145,1.2572972,-2.3191774,-1.185662,-4.505531,-0.014623568,-4.3577642,0.29226813,1.8111851,2.7469673,-1.5174441,0.43724996
4,-893.4878,15.880508,-5.9788103,3.5785882,0.8064331,2.2324533,-3.4492502,-1.2337825,-5.3787127,0.065011084,-4.1113877,-0.9814012,-3.4864872,-2.4365337,-4.9386215,0.08967426,-0.66879463,1.9241447,-3.0152206,-1.4418194,-4.3039784,-0.33193636,-3.4856815,2.2400596,-1.133582,0.6681116,-0.5554084,1.0143481,-2.5735497,0.39289334,-2.6302767,-1.4760268,-4.223682,-0.5225063,-4.274383,-0.112164676,1.0043354,2.2010155,-1.8129928,0.021565804
5,-903.7411,15.524866,-0.45364428,3.1304753,-0.46442127,2.6618197,-1.2910241,-1.6755826,-4.641691,0.81081545,-3.7822194,0.009523656,-4.2715387,-2.9693866,-6.0571733,1.0857182,-0.9585543,2.025787,-2.4439344,-1.6774783,-3.8324718,-0.1950886,-3.2654917,2.7429485,-0.8630509,1.257085,-0.8983669,1.1615701,-2.750195,0.7952642,-2.362401,-1.2368526,-4.3643413,-0.2883657,-4.5319366,-0.3209413,1.0404688,2.1097403,-1.9071646,-0.11823522
6,-891.8343,15.516769,-0.48288918,4.0873623,0.30553722,2.0390882,-1.5840396,-4.006777,-2.4695494,-0.33249834,-2.8335638,0.035276942,-1.047964,-4.3819795,-2.2822523,-0.24736616,0.19958271,0.74752575,-0.4892233,-1.2273343,-2.0423777,-0.81524724,-2.104588,0.15174593,0.009338056,-0.22588685,0.37189347,-0.20946343,-1.8425843,-0.87670916,-1.1830721,-2.2950144,-2.250776,-0.5395492,-2.2893324,-0.88195497,1.4507807,0.5561494,-0.34230223,-0.5106968
7,-889.33026,18.589235,-2.331454,1.3572426,2.5726542,1.1705158,-0.93127793,-2.057168,-3.8743825,0.6007491,-0.8620606,-1.3132315,-1.1389402,-2.7338407,-2.6344924,-0.40558952,0.2839161,-0.33439314,-0.59899116,-1.4810609,-2.0364375,-1.0297365,-2.2082312,0.10099675,0.10530202,0.08917486,0.37569076,-0.2862834,-1.4009145,-0.72969407,-1.3731805,-2.354399,-2.0211544,-0.7050449,-2.2575717,-1.1152006,1.1210479,0.27280548,-0.33354065,-0.21122308
8,-924.263,0.41942856,-3.5397856,1.9113104,-2.4899545,3.325292,-2.5430965,-0.68098027,-3.287478,0.9394127,-4.5074244,1.6399795,-5.340429,-2.124838,-6.5440826,1.4862541,-0.5335065,4.079955,-2.9440842,-1.1850485,-3.5819802,0.6976871,-3.3333366,5.0965,0.059517186,2.8606393,0.36627972,3.0461009,-2.3054695,2.68034,-2.338764,-0.31022927,-4.6744537,0.8393085,-4.9790616,1.1348739,2.399986,3.8880582,-1.5330751,1.235749
9,-896.3306,13.17761,-2.589162,2.4458039,0.21078025,4.2594604,-2.6184294,-1.0858701,-3.3891175,0.19013062,-4.027951,0.25285777,-3.3155494,-3.6246216,-4.2218347,-0.11068937,0.37430754,1.8893057,-2.5269086,-1.7802122,-3.4265606,-0.71890324,-2.8137164,2.9627323,-0.32740754,1.1320217,-0.19417249,1.3975844,-1.63497,0.5719337,-1.7983983,-1.8489738,-3.6951957,-0.9283614,-4.2320256,-0.60319775,2.1894152,1.9192197,-1.1684159,-0.04004449
